player,line,gender
Matteo Berrettini,11,M
Marton Fucsovics,12,M
Jaume Munar,13,M
Hubert Hurkacz,14,M
Ethan Quinn,15,M
Sebastian Ofner,16,M
Alexander Bublik,17,M
Francisco Comesana,18,M
Luciano Darderi,19,M
Jan-Lennard Struff,20,M
Denis Shapovalov,21,M
Jaime Faria,22,M
Matteo Arnaldi,23,M
Eliot Spizzirri,24,M
Tallon Griekspoor,25,M
Frances Tiafoe,26,M
Alexandre Muller,27,M
Raphael Collignon,28,M
Aleksandar Vukic,29,M
Stefanos Tsitsipas,30,M
Daniel Merida,31,M
Ben Shelton,32,M
Felix Auger-Aliassime,33,M
Daniel Altmaier,34,M
Sebastian Baez,35,M
Roman Andres Burruchaga,36,M
Vilius Gaubas,37,M
Roberto Bautista Agut,38,M
Luca Van Assche,39,M
Brandon Nakashima,40,M
Cameron Norrie,41,M
Adolfo Daniel Vallejo,42,M
Marin Cilic,43,M
Moise Kouame,44,M
Alejandro Tabilo,45,M
Kamil Majchrzak,46,M
Valentin Vacherot,47,M
Thomas Faurel,48,M
Flavio Cobolli,49,M
Andrea Pellegrino,50,M
Yibing Wu,51,M
Marcos Giron,52,M
Zhizhen Zhang,53,M
Facundo Diaz Acosta,54,M
Cristian Garin,55,M
Learner Tien,56,M
Francisco Cerundolo,57,M
Botic Van De Zandschulp,58,M
Hugo Gaston,59,M
Gael Monfils,60,M
Zachary Svajda,61,M
Alexei Popyrin,62,M
Adam Walton,63,M
Daniil Medvedev,64,M
Alex De Minaur,65,M
Toby Samuel,66,M
Alexander Blockx,67,M
Coleman Wong,68,M
Mariano Navone,69,M
Jenson Brooksby,70,M
Titouan Droguet,71,M
Jakub Mensik,72,M
Tomas Martin Etcheverry,73,M
Nuno Borges,74,M
Miomir Kecmanovic,75,M
Fabian Marozsan,76,M
Emilio Nava,77,M
Camilo Ugo Carabelli,78,M
Ignacio Buse,79,M
Andrey Rublev,80,M
Casper Ruud,81,M
Roman Safiullin,82,M
Hamad Medjedovic,83,M
Yannick Hanfmann,84,M
Lorenzo Sonego,85,M
Pierre-Hugues Herbert,86,M
Rinky Hijikata,87,M
Tommy Paul,88,M
Joao Fonseca,89,M
Luka Pavlovic,90,M
Michael Zheng,91,M
Dino Prizmic,92,M
Hugo Dellien,93,M
Valentin Royer,94,M
Giovanni Mpetshi Perricard,95,M
Novak Djokovic,96,M
Taylor Fritz,97,M
Nishesh Basavareddy,98,M
Alexander Shevchenko,99,M
Alex Michelsen,100,M
James Duckworth,101,M
Gabriel Diallo,102,M
Aleksandar Kovacevic,103,M
Rafael Jodar,104,M
Alejandro Davidovich Fokina,105,M
Damir Dzumhur,106,M
Pablo Llamas Ruiz,107,M
Thiago Agustin Tirante,108,M
Thanasi Kokkinakis,109,M
Terence Atmane,110,M
Pablo Carreno Busta,111,M
Jiri Lehecka,112,M
Karen Khachanov,113,M
Arthur Gea,114,M
Kyrian Jacquet,115,M
Marco Trungelliti,116,M
Federico Cina,117,M
Reilly Opelka,118,M
Stan Wawrinka,119,M
Jesper De Jong,120,M
Ugo Humbert,121,M
Adrian Mannarino,122,M
Quentin Halys,123,M
Mattia Bellucci,124,M
Tomas Machac,125,M
Zizou Bergs,126,M
Benjamin Bonzi,127,M
Alexander Zverev,128,M
